Timestamp ,Device ID,Temperature,Humidity
4/14/2024 10:15,11101100,59.74,39
4/14/2024 10:25,11101100,61.41,36
4/14/2024 10:35,11101100,61.88,38
4/14/2024 10:45,11101100,60.76,41
4/14/2024 10:55,11101100,58.06,46
4/14/2024 11:05,11101100,54.59,51
4/14/2024 11:15,11101100,52.79,57
4/14/2024 11:25,11101100,51.96,62
4/14/2024 11:35,11101100,51.06,64
4/14/2024 11:45,11101100,50.16,68
4/14/2024 11:55,11101100,49.26,69
4/14/2024 12:05,11101100,48.36,69
4/14/2024 12:15,11101100,47.91,63
4/14/2024 12:25,11101100,47.84,62
4/14/2024 12:35,11101100,47.73,65
4/14/2024 12:45,11101100,47.77,67
4/14/2024 12:55,11101100,47.84,69
4/14/2024 13:05,11101100,47.84,71
4/14/2024 13:15,11101100,47.84,74
4/14/2024 13:25,11101100,48.07,81
4/14/2024 13:35,11101100,49.21,82
4/14/2024 13:45,11101100,50.61,81
4/14/2024 13:55,11101100,51.19,84
4/14/2024 14:05,11101100,51.82,83
4/14/2024 14:15,11101100,52.16,81
4/14/2024 14:25,11101100,54.75,81
4/14/2024 14:35,11101100,57.76,68
4/14/2024 14:45,11101100,59.20,58
4/14/2024 14:55,11101100,59.09,57
4/14/2024 15:05,11101100,57.92,58
4/14/2024 15:15,11101100,56.82,63
4/14/2024 15:25,11101100,55.80,65
4/14/2024 15:35,11101100,54.84,68
4/14/2024 15:45,11101100,53.94,73
4/14/2024 15:55,11101100,53.04,75
4/14/2024 16:05,11101100,52.14,78
4/14/2024 16:15,11101100,50.90,80
4/14/2024 16:25,11101100,49.57,87
4/14/2024 16:35,11101100,48.20,94
4/14/2024 16:45,11101100,47.21,98
4/14/2024 16:55,11101100,46.49,100
4/14/2024 17:05,11101100,45.88,100
4/14/2024 17:15,11101100,45.34,100
4/14/2024 17:25,11101100,45.36,100
4/14/2024 17:35,11101100,46.18,96
4/14/2024 17:45,11101100,47.14,92
4/14/2024 17:55,11101100,47.48,90
4/14/2024 18:05,11101100,47.82,88
4/14/2024 18:15,11101100,48.02,86
4/14/2024 18:25,11101100,50.50,79
4/14/2024 18:35,11101100,53.10,74
4/14/2024 18:45,11101100,54.45,69
4/14/2024 18:55,11101100,54.41,68
4/14/2024 19:05,11101100,53.24,69
4/14/2024 19:15,11101100,51.91,70
4/14/2024 19:25,11101100,50.77,72
4/14/2024 19:35,11101100,49.57,73
4/14/2024 19:45,11101100,48.31,77
4/14/2024 19:55,11101100,47.17,78
4/14/2024 20:05,11101100,45.97,82
4/14/2024 20:15,11101100,44.94,86
4/14/2024 20:25,11101100,43.92,89
4/14/2024 20:35,11101100,42.85,89
4/14/2024 20:45,11101100,42.10,89
4/14/2024 20:55,11101100,41.56,90
4/14/2024 21:05,11101100,41.02,89
4/14/2024 21:15,11101100,40.60,90
